fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
-1.248536,0.7665,0.244423,1.67179,1.099527,1.507335,0.80066,0.714404,-0.007609,0.173736,-0.243665,Bad
0.820863,-0.750436,0.367222,0.791331,0.171775,0.990902,0.80066,-0.009509,-0.019239,-0.50166,0.003868,Fair
0.618367,-0.49464,-1.29398,0.034666,-0.262617,-0.636223,-1.111203,-1.662075,-0.990216,-1.269693,-0.696165,Very Good
0.066684,0.490126,0.254883,0.181043,-0.279749,-1.489265,0.121953,0.417547,0.333728,0.81482,0.005766,Bad
1.476087,0.167918,0.754227,0.601258,-0.052545,0.379238,-0.311315,-0.80657,-0.209753,1.100025,0.872597,Bad
-0.782741,-0.079278,-0.002385,-0.264524,0.305827,-0.427187,0.80066,0.347935,0.791784,-0.104364,0.135781,Fair
-0.498657,0.292045,-0.288744,-0.468297,-0.432107,0.759555,-1.350933,2.022582,-0.110063,0.028198,2.070971,Fair
-2.062814,-0.696598,-0.417071,0.784499,-2.201356,-1.436479,0.80066,-0.360473,-0.260507,-0.38095,1.016195,Good
0.560396,-1.072035,-1.133714,-0.559281,-1.687557,-1.545282,-1.891875,-0.733103,-1.189884,-1.327432,-1.785093,Very Good
0.297924,-0.039617,-0.695658,-1.440598,-1.17,1.067339,0.80066,-1.546137,-0.918724,-0.87081,0.646769,Good
-1.710911,-0.656911,-0.059669,1.574797,-0.670162,0.143785,-1.330766,-0.552806,-0.773584,0.172723,-0.758452,Fair
-1.694853,1.119566,0.375895,-1.440598,0.747125,-1.448392,0.80066,1.115767,0.58728,0.608076,-0.51832,Bad
-0.647304,0.953865,0.682867,1.803828,1.286365,-0.327558,0.80066,-0.019932,0.389399,1.058392,-0.165664,Very Bad
0.553507,-0.381996,-1.244336,0.397047,-0.756327,-0.848434,-0.620639,-1.474632,-1.193013,-1.084251,-1.042474,Very Good
-0.405415,-0.140072,0.203307,-1.322356,0.934814,-0.206339,-1.725111,-0.082812,-1.021862,-0.799844,-0.023532,Good
-0.982887,-0.938676,-0.871146,-0.237775,0.354153,1.453094,0.374208,0.070311,-0.543689,-0.409016,0.021872,Good
-1.03344,0.794421,1.222848,-0.359764,1.496216,-1.474664,0.070754,0.91644,0.553243,1.246462,1.230011,Very Bad
-1.223041,-0.270337,-0.372091,0.718761,-1.412423,-0.760188,-0.167184,-0.407414,-0.052616,-0.730073,-2.7325,Good
-2.062814,-0.854093,-0.898782,0.572073,-0.713655,-0.689354,0.80066,-0.885096,-1.125277,-1.503088,-1.093285,Very Good
-1.408504,-0.799539,-0.663205,0.503818,-0.229791,-0.948254,0.80066,-1.333798,-0.002183,-1.088361,-0.987938,Good
-1.536668,-1.133229,-2.557602,0.529687,-1.405656,-0.110788,0.80066,-1.029956,-0.329361,-1.722527,-1.939348,Very Good
0.423483,-0.022985,-0.209368,-0.332223,0.547469,0.858108,0.80066,-0.330437,0.617257,-0.258575,-1.108723,Good
-0.326443,-0.31735,-1.16231,1.669822,-0.823017,-1.399752,0.80066,-1.036596,-0.868354,-1.240297,-0.760654,Very Good
-1.170708,-2.111607,-1.15613,1.139202,-1.962765,1.565698,0.80066,-2.332515,-0.269132,-0.701174,-0.251241,Very Good
2.285956,1.17399,1.13131,-0.547392,-0.17097,0.679151,-0.99392,1.557558,0.41184,0.567175,-0.397154,Bad
-0.920188,-1.64042,-0.26672,0.611367,0.543492,-1.141788,0.80066,-1.742591,-0.830381,-1.612802,-0.450454,Very Good
1.179503,-0.864546,-0.285907,0.787148,-0.455719,0.020993,-1.06814,0.084541,1.218543,-0.01564,0.746922,Fair
2.051878,0.162565,0.825277,-0.188101,-0.815862,1.132191,-2.189006,0.727517,-0.179305,0.741323,0.733275,Bad
-1.790493,-0.114528,-0.90997,-0.524061,-0.788337,-0.820725,-1.604088,-0.798389,-0.571632,-0.568671,-1.089099,Good
-0.168348,-1.657272,-1.344757,1.228197,-2.434168,1.565698,0.80066,-0.790824,-0.181891,-1.830804,-1.356146,Very Good
-0.718069,-0.854303,-1.677504,-0.146107,-0.266091,1.565698,0.80066,-1.503753,-1.277365,-1.249198,-0.475651,Very Good
-0.444807,0.069029,0.274787,0.11589,-1.29214,-0.717649,0.251555,1.483176,-0.398607,-0.127756,-0.411335,Fair
0.215484,-1.02458,-2.261554,1.151308,-1.803878,-1.322164,0.80066,-1.159299,-1.154505,-1.155002,-0.243728,Very Good
-0.386611,1.130934,1.386696,2.945452,0.995779,1.435529,0.80066,1.616562,0.592468,1.776034,0.05299,Very Bad
-0.372132,0.016225,0.268448,-0.555183,0.9807,-0.521204,-0.28677,-0.761168,0.119776,0.173129,0.297318,Fair
